"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"extrafontdb","extrafontdb","/usr/local/lib64/R/library","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.0.3"
"fansi","fansi","/usr/local/lib64/R/library","1.0.3",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"farver","farver","/usr/local/lib64/R/library","2.1.0",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"fastcluster","fastcluster","/usr/local/lib64/R/library","1.2.3",NA,"R (>= 3.0.0)",NA,NA,NA,"stats, flashClust","FreeBSD | GPL-2 | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"fastmap","fastmap","/usr/local/lib64/R/library","1.1.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"fastmatch","fastmatch","/usr/local/lib64/R/library","1.1-3",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"FDb.InfiniumMethylation.hg19","FDb.InfiniumMethylation.hg19","/usr/local/lib64/R/library","2.2.0",NA,"R (>= 2.10), GenomicFeatures (>= 1.7.22),
TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db","GenomicFeatures, AnnotationDbi, Biostrings",NA,"FDb.UCSC.snp135common.hg19",NA,"Artistic-2.0",NA,NA,NA,NA,NA,"4.0.3"
"fgsea","fgsea","/usr/local/lib64/R/library","1.16.0",NA,"R (>= 3.3)","Rcpp, data.table, BiocParallel, stats, ggplot2 (>= 2.2.0),
gridExtra, grid, fastmatch, Matrix, utils","Rcpp, BH","testthat, knitr, rmarkdown, reactome.db, AnnotationDbi,
parallel, org.Mm.eg.db, limma, GEOquery",NA,"MIT + file LICENCE",NA,NA,NA,NA,"yes","4.0.3"
"fitdistrplus","fitdistrplus","/usr/local/lib64/R/library","1.1-8",NA,"R (>= 3.5.0), MASS, grDevices, survival, methods","stats",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"flexmix","flexmix","/usr/local/lib64/R/library","2.3-17",NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils",NA,"actuar, codetools, diptest, Ecdat, ellipse, gclus, glmnet,
lme4 (>= 1.1), MASS, mgcv (>= 1.8-0), mlbench, multcomp,
mvtnorm, SuppDists, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"FNN","FNN","/usr/local/lib64/R/library","1.1.3",NA,"R (>= 3.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"fontawesome","fontawesome","/usr/local/lib64/R/library","0.2.2",NA,"R (>= 3.3.0)","rlang (>= 0.4.10), htmltools (>= 0.5.1.1)",NA,"covr, knitr, testthat, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"forcats","forcats","/usr/local/lib64/R/library","0.5.1",NA,"R (>= 3.2)","ellipsis, magrittr, rlang, tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"foreach","foreach","/usr/local/lib64/R/library","1.5.2",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.0.3"
"foreign","foreign","/usr/local/lib64/R/library","0.8-82","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"formatR","formatR","/usr/local/lib64/R/library","1.12",NA,"R (>= 3.2.3)",NA,NA,"rstudioapi, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.0.3"
"Formula","Formula","/usr/local/lib64/R/library","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.3"
"fpc","fpc","/usr/local/lib64/R/library","2.2-9",NA,"R (>= 2.0)","MASS, cluster, mclust, flexmix, prabclus, class, diptest,
robustbase, kernlab, grDevices, graphics, methods, stats,
utils, parallel",NA,"tclust, pdfCluster, mvtnorm",NA,"GPL",NA,NA,NA,NA,"no","4.0.3"
"fs","fs","/usr/local/lib64/R/library","1.5.2",NA,"R (>= 3.1)","methods",NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"futile.logger","futile.logger","/usr/local/lib64/R/library","1.4.3",NA,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,"LGPL-3",NA,NA,NA,NA,"no","4.0.3"
"futile.options","futile.options","/usr/local/lib64/R/library","1.0.1",NA,"R (>= 2.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","4.0.3"
"future","future","/usr/local/lib64/R/library","1.25.0",NA,NA,"digest, globals (>= 0.14.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.30.0), tools, utils",NA,"RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.3"
"future.apply","future.apply","/usr/local/lib64/R/library","1.9.0",NA,"R (>= 3.2.0), future (>= 1.22.1)","globals (>= 0.14.0), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"gargle","gargle","/usr/local/lib64/R/library","1.2.0",NA,"R (>= 3.3)","cli (>= 3.0.0), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, rappdirs, rlang (>= 0.4.9), rstudioapi,
stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr, mockr,
rmarkdown, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"gclus","gclus","/usr/local/lib64/R/library","1.3.2",NA,"R (>= 2.10), cluster",NA,NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"gdata","gdata","/usr/local/lib64/R/library","2.18.0.1",NA,"R (>= 2.3.0)","gtools, stats, methods, utils",NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"gdtools","gdtools","/usr/local/lib64/R/library","0.2.4",NA,NA,"Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)","Rcpp","htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"genefilter","genefilter","/usr/local/lib64/R/library","1.72.1",NA,NA,"BiocGenerics (>= 0.31.2), AnnotationDbi, annotate, Biobase,
graphics, methods, stats, survival",NA,"class, hgu95av2.db, tkWidgets, ALL, ROC, RColorBrewer,
BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.3"
"geneLenDataBase","geneLenDataBase","/usr/local/lib64/R/library","1.26.0",NA,"R (>= 2.11.0)","utils, rtracklayer, GenomicFeatures (>= 1.3.15)",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"geneplotter","geneplotter","/usr/local/lib64/R/library","1.68.0",NA,"R (>= 2.10), methods, Biobase, BiocGenerics, lattice, annotate","AnnotationDbi, graphics, grDevices, grid, RColorBrewer, stats,
utils",NA,"Rgraphviz, fibroEset, hgu95av2.db, hu6800.db, hgu133a.db",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"generics","generics","/usr/local/lib64/R/library","0.1.2",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"GenomeInfoDb","GenomeInfoDb","/usr/local/lib64/R/library","1.26.7",NA,"R (>= 3.1), methods, BiocGenerics (>= 0.13.8), S4Vectors (>=
0.25.12), IRanges (>= 2.13.12)","stats, stats4, utils, RCurl, GenomeInfoDbData",NA,"GenomicRanges, Rsamtools, GenomicAlignments, GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene, BSgenome,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"GenomeInfoDbData","GenomeInfoDbData","/usr/local/lib64/R/library","1.2.4",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"GenomicAlignments","GenomicAlignments","/usr/local/lib64/R/library","1.26.0",NA,"R (>= 3.5.0), methods, BiocGenerics (>= 0.15.3), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9), GenomeInfoDb (>= 1.13.1),
GenomicRanges (>= 1.41.5), SummarizedExperiment (>= 1.9.13),
Biostrings (>= 2.55.7), Rsamtools (>= 1.31.2)","methods, utils, stats, BiocGenerics, S4Vectors, IRanges,
GenomicRanges, Biostrings, Rsamtools, BiocParallel","S4Vectors, IRanges","ShortRead, rtracklayer, BSgenome, GenomicFeatures,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Dmelanogaster.UCSC.dm3, BSgenome.Hsapiens.UCSC.hg19,
DESeq2, edgeR, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.3"
"GenomicFeatures","GenomicFeatures","/usr/local/lib64/R/library","1.42.3",NA,"BiocGenerics (>= 0.1.0), S4Vectors (>= 0.17.29), IRanges (>=
2.13.23), GenomeInfoDb (>= 1.25.7), GenomicRanges (>= 1.31.17),
AnnotationDbi (>= 1.41.4)","methods, utils, stats, tools, DBI, RSQLite (>= 2.0), RCurl,
XVector (>= 0.19.7), Biostrings (>= 2.47.6), rtracklayer (>=
1.39.7), biomaRt (>= 2.17.1), Biobase (>= 2.15.1)",NA,"RMariaDB, org.Mm.eg.db, org.Hs.eg.db, BSgenome,
BSgenome.Hsapiens.UCSC.hg19 (>= 1.3.17),
BSgenome.Celegans.UCSC.ce11, BSgenome.Dmelanogaster.UCSC.dm3
(>= 1.3.17), mirbase.db, FDb.UCSC.tRNAs,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Celegans.UCSC.ce11.ensGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene (>= 2.7.1),
TxDb.Mmusculus.UCSC.mm10.knownGene (>= 3.4.7),
TxDb.Hsapiens.UCSC.hg19.lincRNAsTranscripts,
TxDb.Hsapiens.UCSC.hg38.knownGene (>= 3.4.6),
SNPlocs.Hsapiens.dbSNP144.GRCh38, Rsamtools, pasillaBamSubset
(>= 0.0.5), GenomicAlignments (>= 1.15.7), ensembldb, RUnit,
BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"GenomicRanges","GenomicRanges","/usr/local/lib64/R/library","1.42.0",NA,"R (>= 2.10), methods, stats4, BiocGenerics (>= 0.25.3),
S4Vectors (>= 0.27.12), IRanges (>= 2.23.9), GenomeInfoDb (>=
1.15.2)","utils, stats, XVector (>= 0.29.2)","S4Vectors, IRanges","Matrix, Biobase, AnnotationDbi, annotate, Biostrings (>=
2.25.3), SummarizedExperiment (>= 0.1.5), Rsamtools (>=
1.13.53), GenomicAlignments, rtracklayer, BSgenome,
GenomicFeatures, Gviz, VariantAnnotation, AnnotationHub,
DESeq2, DEXSeq, edgeR, KEGGgraph, RNAseqData.HNRNPC.bam.chr14,
pasillaBamSubset, KEGG.db, hgu95av2.db, hgu95av2probe,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.3"
"GEOquery","GEOquery","/usr/local/lib64/R/library","2.58.0",NA,"methods, Biobase","httr, readr (>= 1.3.1), xml2, dplyr, tidyr, magrittr, limma",NA,"knitr, rmarkdown, BiocGenerics, testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"gert","gert","/usr/local/lib64/R/library","1.6.0",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 1.4.1),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"ggalt","ggalt","/usr/local/lib64/R/library","0.4.0",NA,"R (>= 3.2.0), ggplot2 (>= 2.2.1)","utils, graphics, grDevices, dplyr, RColorBrewer, KernSmooth,
proj4, scales, grid, gtable, ash, maps, MASS, extrafont,
tibble, plotly (>= 3.4.1)",NA,"testthat, gridExtra, knitr, rmarkdown, ggthemes, reshape2",NA,"AGPL + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"ggbeeswarm","ggbeeswarm","/usr/local/lib64/R/library","0.6.0",NA,"R (>= 3.0.0), ggplot2 (>= 2.0)","beeswarm, vipor",NA,"gridExtra",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"ggdendro","ggdendro","/usr/local/lib64/R/library","0.1.23",NA,NA,"MASS, ggplot2(>= 0.9.2)",NA,"rpart (>= 4.0-0), tree, testthat, knitr, cluster, scales,
spelling, rmarkdown, covr",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.3"
"ggforce","ggforce","/usr/local/lib64/R/library","0.3.3",NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6),
covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"ggfun","ggfun","/usr/local/lib64/R/library","0.0.6",NA,NA,"ggplot2, grid, rlang, utils",NA,"ggplotify, knitr, rmarkdown, prettydoc",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"ggplot2","ggplot2","/usr/local/lib64/R/library","3.3.6",NA,"R (>= 3.3)","digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.4.10), scales (>= 0.5.0), stats,
tibble, withr (>= 2.0.0)",NA,"covr, ragg, dplyr, ggplot2movies, hexbin, Hmisc, interp,
knitr, lattice, mapproj, maps, maptools, multcomp, munsell,
nlme, profvis, quantreg, RColorBrewer, rgeos, rmarkdown, rpart,
sf (>= 0.7-3), svglite (>= 1.2.0.9001), testthat (>= 2.1.0),
vdiffr (>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"ggplotify","ggplotify","/usr/local/lib64/R/library","0.1.0",NA,"R (>= 3.4.0)","ggplot2, graphics, grDevices, grid, gridGraphics, yulab.utils",NA,"aplot, colorspace, cowplot, ggimage, knitr, rmarkdown,
lattice, prettydoc, vcd, utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"ggpubr","ggpubr","/usr/local/lib64/R/library","0.4.0",NA,"R (>= 3.1.0), ggplot2","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"ggrastr","ggrastr","/usr/local/lib64/R/library","1.0.1",NA,"R (>= 3.2.2)","ggplot2 (>= 2.1.0), Cairo (>= 1.5.9), ggbeeswarm, grid, png,
ragg",NA,"knitr, maps, rmarkdown, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"ggrepel","ggrepel","/usr/local/lib64/R/library","0.9.1",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"ggridges","ggridges","/usr/local/lib64/R/library","0.5.3",NA,"R (>= 3.2)","ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"ggsci","ggsci","/usr/local/lib64/R/library","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"ggsignif","ggsignif","/usr/local/lib64/R/library","0.6.3",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, spelling, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"ggtext","ggtext","/usr/local/lib64/R/library","0.1.1",NA,"R (>= 3.5)","ggplot2 (>= 3.3.0), grid, gridtext, rlang, scales",NA,"cowplot, dplyr, glue, knitr, rmarkdown, testthat, vdiffr",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"gh","gh","/usr/local/lib64/R/library","1.3.0",NA,NA,"cli (>= 2.0.1), gitcreds, httr (>= 1.2), ini, jsonlite",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 2.3.2), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"git2r","git2r","/usr/local/lib64/R/library","0.30.1",NA,"R (>= 3.1)","graphics, utils",NA,"getPass",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"gitcreds","gitcreds","/usr/local/lib64/R/library","0.1.1",NA,NA,NA,NA,"codetools, testthat, knitr, mockery, oskeyring, rmarkdown,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"globals","globals","/usr/local/lib64/R/library","0.15.0",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.3"
"glue","glue","/usr/local/lib64/R/library","1.6.2",NA,"R (>= 3.4)","methods",NA,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"GO.db","GO.db","/usr/local/lib64/R/library","3.12.1",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.51.3)","methods, AnnotationDbi",NA,"DBI",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"goftest","goftest","/usr/local/lib64/R/library","1.2-3",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"googledrive","googledrive","/usr/local/lib64/R/library","2.0.0",NA,"R (>= 3.3)","cli (>= 3.0.0), gargle (>= 1.2.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar, purrr (>= 0.2.3), rlang
(>= 0.4.9), tibble (>= 2.0.0), utils, uuid, vctrs (>= 0.3.0),
withr",NA,"covr, curl, downlit, dplyr (>= 1.0.0), knitr, mockr,
rmarkdown, roxygen2, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"googlesheets4","googlesheets4","/usr/local/lib64/R/library","1.0.0",NA,"R (>= 3.3)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.2.0), glue (>=
1.3.0), googledrive (>= 2.0.0), httr, ids, magrittr, methods,
purrr, rematch2, rlang (>= 0.4.11), tibble (>= 2.1.1), utils,
vctrs (>= 0.2.3)",NA,"covr, readr, rmarkdown, sodium, spelling, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"GOSemSim","GOSemSim","/usr/local/lib64/R/library","2.16.1",NA,"R (>= 3.5.0)","AnnotationDbi, GO.db, methods, utils","Rcpp","AnnotationHub, BiocManager, clusterProfiler, DOSE, knitr,
org.Hs.eg.db, prettydoc, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.3"
"goseq","goseq","/usr/local/lib64/R/library","1.42.0",NA,"R (>= 2.11.0), BiasedUrn, geneLenDataBase (>= 1.9.2)","mgcv, graphics, stats, utils, AnnotationDbi,
GO.db,BiocGenerics",NA,"edgeR, org.Hs.eg.db, rtracklayer",NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"gplots","gplots","/usr/local/lib64/R/library","3.1.3",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth, methods",NA,"grid, MASS, knitr, r2d2",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"graph","graph","/usr/local/lib64/R/library","1.68.0",NA,"R (>= 2.10), methods, BiocGenerics (>= 0.13.11)","stats, stats4, utils",NA,"SparseM (>= 0.36), XML, RBGL, RUnit, cluster","Rgraphviz","Artistic-2.0",NA,NA,NA,NA,"yes","4.0.3"
"graphics","graphics","/usr/local/lib64/R/library","4.2.0","base",NA,"grDevices",NA,NA,NA,"Part of R 4.2.0",NA,NA,NA,NA,"yes","4.2.0"
"graphite","graphite","/usr/local/lib64/R/library","1.36.0",NA,"R (>= 2.10), methods","AnnotationDbi, checkmate, graph (>= 1.67.1), httr, rappdirs,
stats, utils",NA,"a4Preproc, ALL, BiocStyle, clipper, codetools,
hgu133plus2.db, hgu95av2.db, impute, knitr, org.Hs.eg.db,
parallel, R.rsp, RCy3, rmarkdown, SPIA (>= 2.2), testthat,
topologyGSA (>= 1.4.0)",NA,"AGPL-3",NA,NA,NA,NA,"no","4.0.3"
"grDevices","grDevices","/usr/local/lib64/R/library","4.2.0","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.2.0",NA,NA,NA,NA,"yes","4.2.0"
"grid","grid","/usr/local/lib64/R/library","4.2.0","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.2.0",NA,NA,NA,NA,"yes","4.2.0"
"gridBase","gridBase","/usr/local/lib64/R/library","0.4-7",NA,"R (>= 2.3.0)","graphics, grid",NA,"lattice",NA,"GPL",NA,NA,NA,NA,"no","4.0.3"
"gridExtra","gridExtra","/usr/local/lib64/R/library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"gridGraphics","gridGraphics","/usr/local/lib64/R/library","0.5-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"gridtext","gridtext","/usr/local/lib64/R/library","0.1.4",NA,"R (>= 3.5)","grid, grDevices, markdown, rlang, Rcpp, RCurl, png, jpeg,
stringr, xml2","Rcpp","covr, knitr, rmarkdown, testthat, vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"GSEABase","GSEABase","/usr/local/lib64/R/library","1.52.1",NA,"R (>= 2.6.0), BiocGenerics (>= 0.13.8), Biobase (>= 2.17.8),
annotate (>= 1.45.3), methods, graph (>= 1.37.2)","AnnotationDbi, XML",NA,"hgu95av2.db, GO.db, org.Hs.eg.db, Rgraphviz, ReportingTools,
testthat, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"GSVA","GSVA","/usr/local/lib64/R/library","1.38.2",NA,"R (>= 3.5.0)","methods, stats, utils, graphics, BiocGenerics, S4Vectors,
IRanges, Biobase, SummarizedExperiment, GSEABase, parallel,
BiocParallel",NA,"RUnit, limma, RColorBrewer, genefilter, edgeR, GSVAdata,
shiny, shinythemes, ggplot2, data.table, plotly",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"gtable","gtable","/usr/local/lib64/R/library","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"gtools","gtools","/usr/local/lib64/R/library","3.9.2",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"haven","haven","/usr/local/lib64/R/library","2.5.0",NA,"R (>= 3.4)","cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)","cpp11","covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"HDF5Array","HDF5Array","/usr/local/lib64/R/library","1.18.1",NA,"R (>= 3.4), methods, DelayedArray (>= 0.15.16), rhdf5 (>=
2.31.6)","utils, stats, tools, Matrix, BiocGenerics (>= 0.31.5),
S4Vectors, IRanges","S4Vectors (>= 0.27.13), Rhdf5lib","BiocParallel, GenomicRanges, SummarizedExperiment (>=
1.15.1), h5vcData, ExperimentHub, TENxBrainData,
GenomicFeatures, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.3"
"here","here","/usr/local/lib64/R/library","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"hexbin","hexbin","/usr/local/lib64/R/library","1.28.2",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"highr","highr","/usr/local/lib64/R/library","0.9",NA,"R (>= 3.2.3)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.0.3"
